track,artist,release,explicit,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,pitches,Timbre,CS,start,Y
Misunderstood,PnB Rock,2017-01-13,1,spotify:track:3nxgKa7boB4WjD0X01MXtJ,0.224,0.691,0.24,0.451,0.0,0.091,0.102,0.735,1.0,0.069,0.573,0.75,0.118,0.223,0.123,0.904,0.017,1.138
Down,Marian Hill,2016-06-24,0,spotify:track:5eCkuGPZNl4mISFNPgr3Dd,0.68,0.636,0.184,0.353,0.006,0.0,0.109,0.57,0.0,0.111,0.399,1.0,0.042,0.307,0.277,0.706,0.019,1.5
Thumbs,Sabrina Carpenter,2016-10-14,0,spotify:track:6WC5fhc9XMaCrUNKNjm9xE,0.029,0.699,0.204,0.725,0.0,0.727,0.072,0.894,1.0,0.026,0.531,0.75,0.106,0.321,0.127,0.948,0.02,1.252
Look at Me!,XXXTENTACION,2017-02-20,1,spotify:track:7floNISpH8VF4z4459Qo18,0.261,0.738,0.105,0.733,0.0,0.091,0.081,0.81,1.0,0.275,0.556,0.75,0.338,0.635,0.306,0.946,0.02,1.926
May We All,Florida Georgia Line,2016-08-26,0,spotify:track:498ZVInMGDkmmNVpSWqHiZ,0.041,0.438,0.215,0.931,0.0,0.636,0.34,0.871,1.0,0.014,0.623,0.75,0.644,0.519,0.122,0.961,0.02,1.046
Magic,Thomas Gold,2016-09-30,0,spotify:track:7GYLsGlCPqSkLBNDC5mVyl,0.051,0.576,0.154,0.894,0.001,0.727,0.08,0.844,1.0,0.023,0.348,0.75,0.43,0.541,0.059,0.964,0.021,1.137
Get Right Witcha,Migos,2017-01-27,1,spotify:track:76Y0gxtTxN0FyDCYh5qYQj,0.065,0.964,0.249,0.75,0.0,0.909,0.087,0.826,0.0,0.228,0.542,0.75,0.623,0.43,0.188,0.888,0.022,2.013
Culture (feat. DJ Khaled),Migos,2017-01-27,1,spotify:track:4oLuMvGQ4WJfU2s4OM6nfE,0.038,0.813,0.135,0.707,0.0,1.0,0.125,0.848,0.0,0.233,0.519,0.75,0.305,0.477,0.239,0.864,0.022,1.603
Slippery (feat. Gucci Mane),Migos,2017-01-27,1,spotify:track:6p8NuHm8uCGnn2Dtbtf7zE,0.309,0.928,0.3,0.679,0.0,0.091,0.088,0.832,0.0,0.256,0.573,0.75,0.749,0.374,0.313,0.864,0.022,2.517
Kelly Price (feat. Travis Scott),Migos,2017-01-27,1,spotify:track:204U3zjm9kkzX25Pr4Rdld,0.534,0.717,0.365,0.691,0.0,0.364,0.164,0.83,0.0,0.009,0.452,0.75,0.431,0.388,0.189,0.901,0.022,2.523
What The Price,Migos,2017-01-27,1,spotify:track:7sO0dVFCfixpLshm4daMH3,0.295,0.766,0.239,0.629,0.0,0.545,0.136,0.874,1.0,0.033,0.463,0.75,0.199,0.304,0.372,0.979,0.022,1.679
Scared to Be Lonely,Martin Garrix,2017-01-27,0,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,0.09,0.522,0.209,0.542,0.0,0.091,0.254,0.77,0.0,0.037,0.549,0.75,0.177,0.339,0.128,0.861,0.022,3.392
Brown Paper Bag,Migos,2017-01-27,1,spotify:track:5wihevBA7MO9PNYyWyTfkh,0.048,0.912,0.198,0.489,0.0,0.727,0.099,0.828,1.0,0.143,0.542,0.75,0.238,0.25,0.15,0.955,0.022,1.773
Deadz (feat. 2 Chainz),Migos,2017-01-27,1,spotify:track:4AlrLQ2RMxOwz1gTTkb4vQ,0.163,0.857,0.267,0.794,0.0,0.727,0.113,0.892,1.0,0.222,0.458,0.75,0.363,0.47,0.161,0.992,0.022,1.561
Big On Big,Migos,2017-01-27,1,spotify:track:3BoPOp7YNORLqMUjE5XAh9,0.146,0.69,0.285,0.777,0.0,0.0,0.16,0.837,0.0,0.038,0.573,0.75,0.524,0.389,0.117,0.862,0.022,1.584
All Ass,Migos,2017-01-27,1,spotify:track:5QxqypupYWHrY8IkGCSObQ,0.006,0.826,0.29,0.766,0.0,0.727,0.197,0.844,1.0,0.178,0.562,0.75,0.55,0.427,0.329,0.99,0.022,1.505
Out Yo Way,Migos,2017-01-27,1,spotify:track:4Dbn05LNVX5giGbgbz5fdQ,0.203,0.496,0.283,0.766,0.0,0.091,0.351,0.862,1.0,0.175,0.524,0.75,0.573,0.487,0.117,0.944,0.022,1.675
Escape,Kehlani,2017-01-27,1,spotify:track:5clYhUpqYzy0Fdz3TdtZ3j,0.039,0.496,0.188,0.694,0.0,0.364,0.227,0.84,1.0,0.06,0.196,0.75,0.714,0.477,0.178,0.946,0.022,1.313
So Good (feat. Ty Dolla $ign),Zara Larsson,2017-03-17,0,spotify:track:54LGxQGf5LPXNGjtzDZ5IE,0.086,0.694,0.15,0.578,0.0,0.0,0.026,0.783,1.0,0.131,0.208,0.75,0.793,0.507,0.154,0.888,0.022,1.29
CRZY,Kehlani,2017-01-27,1,spotify:track:6Dwtha2FtZFoMEBh5GR2sq,0.227,0.815,0.177,0.709,0.0,0.545,0.145,0.785,1.0,0.259,0.501,0.75,0.7,0.508,0.214,0.994,0.022,1.243
Distraction,Kehlani,2017-01-27,1,spotify:track:2wSQyp6VzUopSFBinRo1iD,0.027,0.613,0.225,0.705,0.0,0.455,0.292,0.814,0.0,0.025,0.445,0.75,0.388,0.408,0.137,0.916,0.022,1.177
Do U Dirty,Kehlani,2017-01-27,1,spotify:track:6piGXG0H9AybPDVnwwIMao,0.08,0.605,0.183,0.555,0.0,0.727,0.31,0.796,0.0,0.226,0.427,0.75,0.463,0.425,0.349,0.905,0.022,1.066
Keep On,Kehlani,2017-01-27,1,spotify:track:4MV4wa3Dke1GMBtk06GMR0,0.266,0.711,0.196,0.452,0.0,0.455,0.114,0.776,0.0,0.136,0.306,0.75,0.511,0.477,0.3,0.921,0.023,1.014
Undercover,Kehlani,2017-01-27,1,spotify:track:6krNSTegkvGMmdIUOUEQH1,0.277,0.688,0.168,0.597,0.0,0.0,0.053,0.857,0.0,0.018,0.592,0.75,0.728,0.306,0.18,0.846,0.023,1.021
Gangsta,Kehlani,2016-08-05,1,spotify:track:1W7zkKgRv9mrLbfdQ8XyH3,0.112,0.347,0.161,0.446,0.0,0.909,0.299,0.755,0.0,0.022,0.448,0.75,0.088,0.332,0.057,0.795,0.025,1.038
Dirt On My Boots,Jon Pardi,2016-05-13,0,spotify:track:7f08qp3HROTkfrtNpiYGGo,0.112,0.642,0.188,0.805,0.0,1.0,0.186,0.874,1.0,0.006,0.257,0.75,0.529,0.387,0.066,0.95,0.025,1.041
I Think She Like Me (feat. Ty Dolla $ign),Rick Ross,2017-03-17,1,spotify:track:5V1QsNSEDF7YmNBhSKhE75,0.008,0.576,0.232,0.707,0.0,0.182,0.102,0.816,1.0,0.256,0.231,0.75,0.133,0.614,0.107,0.908,0.026,1.037
Body Like A Back Road,Sam Hunt,2017-02-01,0,spotify:track:7mldq42yDuxiUNn08nvzHO,0.45,0.701,0.148,0.457,0.0,0.455,0.122,0.786,1.0,0.009,0.311,0.75,0.666,0.394,0.063,0.959,0.027,3.263
Not Nice,PARTYNEXTDOOR,2016-08-12,0,spotify:track:4STaHtfguDMkWbPEo6Fwcx,0.025,0.539,0.189,0.496,0.001,0.0,0.105,0.726,1.0,0.061,0.488,0.75,0.733,0.353,0.122,0.889,0.027,1.014
PRBLMS,6LACK,2016-11-18,1,spotify:track:4AtZRwSR8BOTTQg5ihSggt,0.031,0.32,0.237,0.583,0.0,0.818,0.167,0.863,1.0,0.195,0.127,1.0,0.118,0.413,0.107,0.879,0.027,1.174
Believer,Imagine Dragons,2017-06-23,0,spotify:track:0pqnGHJpmpxLKifKRmU6WP,0.063,0.754,0.191,0.789,0.0,0.909,0.063,0.869,0.0,0.111,0.47,0.75,0.671,0.507,0.124,0.889,0.028,2.638
A Guy with a Girl,Blake Shelton,2016-05-20,0,spotify:track:5sjIhQzNljMVrDklI91ezp,0.016,0.484,0.174,0.905,0.0,0.0,0.089,0.862,1.0,0.016,0.707,0.75,0.787,0.525,0.049,0.893,0.028,1.024
No Favors,Big Sean,2017-02-03,1,spotify:track:1MksGqIztTT6M9R1ErKVs8,0.634,0.399,0.324,0.79,0.0,1.0,0.416,0.841,1.0,0.413,0.061,1.0,0.325,0.746,0.097,0.884,0.028,3.366
