track,artist,release,explicit,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,pitches,Timbre,CS,start,Y
If You're Over Me,Years & Years,2018-05-10,0,spotify:track:01k24g94i1JvkFLQmVEdCd,0.062,0.598,0.174,0.863,0.0,0.727,0.043,0.865,1.0,0.072,0.341,0.75,0.62,0.471,0.053,0.971,0.488,1.14
WIFI LIT,Future,2018-07-06,1,spotify:track:6WlxcZKpEV6Bwe9InoVhMp,0.064,0.885,0.16,0.581,0.0,0.182,0.17,0.797,1.0,0.293,0.591,0.75,0.301,0.279,0.189,0.944,0.49,1.761
RACKS BLUE,Future,2018-07-06,1,spotify:track:4lc61NBCDzy2srBHDQeTfN,0.234,0.864,0.191,0.55,0.0,0.091,0.169,0.768,1.0,0.157,0.562,0.75,0.557,0.348,0.214,0.949,0.49,1.692
CUDDLE MY WRIST,Future,2018-07-06,1,spotify:track:5UVNjOSh27encRBqTpBWup,0.075,0.907,0.166,0.504,0.0,1.0,0.11,0.73,0.0,0.331,0.47,0.75,0.185,0.29,0.075,0.823,0.49,1.781
31 DAYS,Future,2018-07-06,1,spotify:track:7MywASx2OFZngfoORjo1yy,0.269,0.873,0.231,0.649,0.0,0.091,0.11,0.806,1.0,0.211,0.556,0.75,0.799,0.393,0.087,0.945,0.49,1.615
Dangerous (feat. Jeremih and PnB Rock),Meek Mill,2018-11-30,1,spotify:track:3lb5fWSG2p7x8ik8HN9oFR,0.047,0.703,0.223,0.493,0.0,0.0,0.028,0.778,1.0,0.302,0.232,0.75,0.562,0.396,0.12,0.892,0.49,1.251
WHEN I THINK ABOUT IT,Future,2018-07-06,1,spotify:track:7JrAZVBsIxO42bLi9HnRYp,0.135,0.449,0.169,0.67,0.0,0.545,0.124,0.806,0.0,0.136,0.653,0.75,0.503,0.321,0.099,0.913,0.49,1.616
RED LIGHT,Future,2018-07-06,1,spotify:track:3AALcuKu2uN5VChEChnD7v,0.069,0.504,0.237,0.575,0.0,0.545,0.111,0.814,0.0,0.204,0.624,0.75,0.314,0.326,0.248,0.909,0.49,1.476
DOH DOH (feat. Young Scooter),Future,2018-07-06,1,spotify:track:0U06Yqe0nkkJlptlr7O4uO,0.032,0.894,0.208,0.665,0.0,0.182,0.174,0.761,1.0,0.11,0.658,0.5,0.667,0.334,0.237,0.924,0.49,1.447
Millidelphia (feat. Swizz Beatz),Meek Mill,2018-07-06,1,spotify:track:1dQ84P0W0lOckT02lPEhhP,0.086,0.844,0.203,0.709,0.0,0.091,0.374,0.875,1.0,0.26,0.481,0.75,0.16,0.451,0.213,0.921,0.49,1.404
Who Want The Smoke?,Lil Yachty,2018-07-06,1,spotify:track:3LR0t8XqZ1FUj6nj01sXN0,0.074,0.903,0.185,0.759,0.0,1.0,0.112,0.878,0.0,0.305,0.562,0.75,0.639,0.653,0.112,0.881,0.49,1.406
SoulMate,Justin Timberlake,2018-07-03,0,spotify:track:4YLtrBhzjsI2LT6ybXQHeD,0.022,0.741,0.182,0.793,0.001,0.636,0.176,0.844,0.0,0.027,0.378,0.75,0.443,0.582,0.2,0.91,0.49,1.668
Drug Addicts,Lil Pump,2018-07-06,1,spotify:track:6tpHfEM8eaETzlPOARYWfZ,0.011,0.944,0.159,0.488,0.001,0.091,0.079,0.726,0.0,0.134,0.574,0.75,0.193,0.334,0.573,0.824,0.49,1.512
SOME MORE,Future,2018-07-06,1,spotify:track:5sT2yQrTJbs0aubnGwuuiw,0.496,0.927,0.201,0.441,0.0,0.182,0.225,0.766,1.0,0.14,0.378,0.75,0.481,0.265,0.075,0.936,0.49,1.447
HATE THE REAL ME,Future,2018-07-06,1,spotify:track:4pXiV088jJbJzQgU9XcZXQ,0.086,0.674,0.23,0.555,0.0,0.545,0.128,0.799,1.0,0.04,0.58,0.75,0.122,0.253,0.101,0.953,0.49,1.382
Freaking Out,A R I Z O N A,2019-10-11,0,spotify:track:5P4OS6niKRV6zsdPKPcnRM,0.119,0.617,0.186,0.686,0.006,0.545,0.086,0.804,1.0,0.029,0.47,0.75,0.375,0.491,0.192,0.985,0.49,1.169
Karma,Years & Years,2019-02-14,1,spotify:track:2zcPV7NeGyhSZJK0WjETx7,0.147,0.771,0.179,0.507,0.0,0.636,0.07,0.791,1.0,0.101,0.348,0.75,0.451,0.451,0.363,0.977,0.49,1.07
I Was Jack (You Were Diane),Jake Owen,2019-03-29,0,spotify:track:3dlCF1mzW1UKMOb4b1XN17,0.082,0.545,0.172,0.878,0.0,0.545,0.033,0.893,1.0,0.023,0.282,0.75,0.542,0.562,0.062,0.967,0.492,1.05
Lie,NF,2017-10-06,0,spotify:track:07FkzikE6FuHIa8Ma7zJGc,0.162,0.437,0.196,0.666,0.0,0.455,0.238,0.81,1.0,0.23,0.285,0.75,0.16,0.482,0.167,0.944,0.492,1.535
Wasted (feat. Lil Uzi Vert),Juice WRLD,2018-12-10,1,spotify:track:1a7WZZZH7LzyvorhpOJFTe,0.038,0.713,0.25,0.581,0.0,0.0,0.078,0.85,1.0,0.19,0.591,0.75,0.499,0.331,0.172,0.925,0.493,2.837
Summertime Magic,Childish Gambino,2018-07-11,0,spotify:track:4j3GWI86JvSaF0BLdmgcfF,0.013,0.735,0.201,0.581,0.004,0.0,0.09,0.782,1.0,0.036,0.318,0.75,0.104,0.382,0.112,0.873,0.494,3.234
Jumpsuit,Twenty One Pilots,2018-10-05,0,spotify:track:1E1uGhNdBe6Dddbgs2KqtZ,0.009,0.565,0.228,0.614,0.169,1.0,0.195,0.755,0.0,0.015,0.482,0.75,0.219,0.375,0.063,0.827,0.494,1.818
Nico And The Niners,Twenty One Pilots,2018-10-05,0,spotify:track:5SehvGGC53A7SZKCLXQcyt,0.07,0.696,0.213,0.606,0.0,0.818,0.315,0.771,0.0,0.172,0.562,0.75,0.316,0.396,0.124,0.89,0.494,1.601
Feels Like Summer,Childish Gambino,2018-07-11,0,spotify:track:7p4vHnYXkxlzvfePJVpcTr,0.163,0.486,0.293,0.6,0.005,0.636,0.063,0.758,1.0,0.114,0.718,0.75,0.24,0.454,0.062,0.953,0.494,1.762
God is a woman,Ariana Grande,2018-08-17,1,spotify:track:5OCJzvD7sykQEKHH7qAC3C,0.023,0.544,0.183,0.663,0.0,0.091,0.229,0.824,1.0,0.035,0.592,0.75,0.254,0.345,0.056,0.922,0.496,5.109
Eastside (with Halsey & Khalid),benny blanco,2018-07-12,0,spotify:track:0d2iYfpKoM0QCKvcLCkBao,0.559,0.493,0.157,0.686,0.0,0.545,0.1,0.774,0.0,0.316,0.253,0.75,0.307,0.372,0.06,0.872,0.496,4.55
Hot Now,Wiz Khalifa,2018-07-13,1,spotify:track:4Q3HHwkLVwHrSVad0RUz3V,0.038,0.809,0.215,0.617,0.0,0.091,0.378,0.846,1.0,0.387,0.652,0.75,0.288,0.35,0.187,0.921,0.496,1.614
Fr Fr (feat. Lil Skies),Wiz Khalifa,2018-07-13,1,spotify:track:1RagpNpkD3KcjXMLGMe99V,0.121,0.923,0.181,0.493,0.0,0.091,0.201,0.782,0.0,0.147,0.562,0.75,0.315,0.268,0.325,0.86,0.496,1.835
Ocean,Wiz Khalifa,2018-07-13,1,spotify:track:3qNTqHjFfyJzMgZoYcUqjV,0.002,0.809,0.199,0.774,0.0,0.727,0.332,0.802,0.0,0.206,0.592,0.75,0.646,0.43,0.228,0.9,0.496,1.569
Real Rich (feat. Gucci Mane),Wiz Khalifa,2018-07-13,1,spotify:track:5t8djD6oZcfAyqF4cTQfFb,0.036,0.96,0.103,0.44,0.0,0.182,0.095,0.726,1.0,0.119,0.47,0.75,0.261,0.085,0.217,0.913,0.496,1.518
Rolling Papers 2,Wiz Khalifa,2018-07-13,1,spotify:track:3Ulh8AlXmYztutPMN59e0s,0.035,0.67,0.254,0.723,0.0,0.727,0.129,0.836,1.0,0.115,0.755,0.75,0.197,0.462,0.117,0.959,0.496,1.558
Blue Hunnids (feat. Jimmy Wopo and Hardo),Wiz Khalifa,2018-07-13,1,spotify:track:073wIn7FqixdyJU4cqh41j,0.062,0.715,0.237,0.781,0.0,0.727,0.328,0.879,0.0,0.248,0.586,0.75,0.435,0.462,0.316,0.91,0.496,1.415
Goin Hard,Wiz Khalifa,2018-07-13,1,spotify:track:2UTYdy4gUEhmg9TFkVlydd,0.005,0.879,0.108,0.837,0.0,0.909,0.22,0.809,0.0,0.102,0.22,0.75,0.538,0.413,0.212,0.864,0.496,1.315
Self Care,Mac Miller,2018-08-03,1,spotify:track:5bJ1DrEM4hNCafcDd1oxHx,0.369,0.445,0.345,0.54,0.002,0.091,0.104,0.761,1.0,0.194,0.573,0.75,0.158,0.467,0.303,0.898,0.496,1.517
Penthouse (feat. Snoop Dogg),Wiz Khalifa,2018-07-13,1,spotify:track:4s48nmzo7Um1Hcx52eNgSF,0.146,0.877,0.186,0.73,0.0,0.909,0.729,0.803,0.0,0.039,0.434,0.75,0.532,0.398,0.068,0.844,0.496,1.396
Holyfield,Wiz Khalifa,2018-07-13,1,spotify:track:2Ue3s7x4pKV48dmQHVSSWR,0.087,0.894,0.136,0.701,0.002,0.091,0.145,0.794,1.0,0.328,0.659,0.75,0.836,0.546,0.051,0.93,0.496,1.488
Very Special,Wiz Khalifa,2018-07-13,1,spotify:track:7r9n8i6kikpwxEomUFujzY,0.061,0.805,0.149,0.74,0.0,0.182,0.75,0.82,1.0,0.393,0.165,0.75,0.431,0.484,0.209,0.879,0.496,1.48
Mr. Williams (feat. THEMXXNLIGHT & Curren$y) / Where Is the Love,Wiz Khalifa,2018-07-13,1,spotify:track:6WDo5KoqkteS4p0xGn9W9L,0.073,0.524,0.405,0.706,0.0,1.0,0.201,0.792,0.0,0.252,0.464,0.75,0.286,0.443,0.215,0.845,0.496,1.27
Rain (feat. PARTYNEXTDOOR),Wiz Khalifa,2018-07-13,1,spotify:track:5XPNicWoJnVfrwjQnIs1p6,0.062,0.585,0.135,0.434,0.0,0.727,0.284,0.776,1.0,0.007,0.281,0.75,0.06,0.207,0.143,0.9,0.496,1.187
Bootsy Bellows,Wiz Khalifa,2018-07-13,1,spotify:track:1TFsOckh4vFv092jOS0SHj,0.446,0.777,0.191,0.485,0.0,1.0,0.348,0.782,0.0,0.286,0.181,0.75,0.602,0.509,0.172,0.838,0.496,1.181
Gin and Drugs (feat. Problem),Wiz Khalifa,2018-07-13,1,spotify:track:1NX3nkD48kz4BLgxUhtt5s,0.132,0.818,0.135,0.813,0.0,0.818,0.653,0.875,1.0,0.249,0.311,0.75,0.776,0.578,0.097,0.951,0.496,1.102
Late Night Messages,Wiz Khalifa,2018-07-13,1,spotify:track:3T6Wt1QsnkiRXgTSKSCHPs,0.088,0.771,0.277,0.62,0.0,0.909,0.211,0.781,0.0,0.079,0.275,0.75,0.3,0.432,0.154,0.868,0.496,1.092
Karate (feat. Chevy Woods) / Never Hesitate (feat. Darrius Willrich),Wiz Khalifa,2018-07-13,1,spotify:track:0Q2NCvFuP8T788y2bzv9Qs,0.116,0.509,0.329,0.657,0.0,0.455,0.148,0.827,1.0,0.4,0.208,0.75,0.822,0.446,0.11,0.937,0.496,1.044
The City (with Quinn XCII),Louis The Child,2018-10-26,0,spotify:track:5X3VpTYsESWoh80dMa60jd,0.122,0.458,0.171,0.68,0.0,0.0,0.324,0.9,1.0,0.326,0.793,0.75,0.81,0.556,0.342,0.896,0.496,1.018
Ned Flanders (feat. A$AP Ferg),MadeinTYO,2018-10-26,1,spotify:track:2EUNZfjPToKZIahK0WMLKd,0.026,0.947,0.143,0.495,0.0,0.091,0.07,0.82,1.0,0.219,0.561,0.75,0.286,0.202,0.249,0.914,0.497,1.181
Ooh Yea (feat. Ty Dolla $ign),Fabolous,2018-07-13,1,spotify:track:5hNAgr4yRjR5loFVRcwYgu,0.664,0.747,0.195,0.611,0.0,0.909,0.146,0.819,0.0,0.37,0.622,0.75,0.756,0.416,0.207,0.86,0.497,1.101
Mercy,Brett Young,2017-02-10,0,spotify:track:2VIPU72L6tIR4w8J8ap6Kp,0.846,0.587,0.205,0.364,0.0,0.364,0.083,0.767,1.0,0.004,0.147,0.75,0.202,0.301,0.078,0.837,0.5,1.076
I Might Need Security,Chance the Rapper,2018-07-19,1,spotify:track:3EApebexZ7YqDIqw2EMTDh,0.178,0.438,0.23,0.7,0.0,0.818,0.35,0.826,1.0,0.408,0.382,0.5,0.273,0.475,0.184,0.908,0.501,1.993
Work Out,Chance the Rapper,2018-07-18,1,spotify:track:3PdgIdRXJjgxfOr7slldel,0.495,0.636,0.233,0.664,0.0,0.091,0.09,0.859,1.0,0.307,0.768,0.75,0.68,0.39,0.081,0.936,0.501,1.644
65th & Ingleside,Chance the Rapper,2018-07-16,1,spotify:track:5H0NU2sHWUnWCcZyYlX46X,0.04,0.773,0.267,0.557,0.0,0.0,0.091,0.792,1.0,0.336,0.317,0.75,0.061,0.585,0.302,0.862,0.501,1.878
Wala Cam,Chance the Rapper,2018-07-17,1,spotify:track:2cEnYJKLSZPH7MFSk6C05c,0.034,0.838,0.204,0.819,0.0,0.182,0.138,0.891,1.0,0.28,0.227,0.75,0.252,0.66,0.215,0.933,0.501,1.517
you should see me in a crown,Billie Eilish,2019-03-29,0,spotify:track:3XF5xLJHOQQRbWya6hBp7d,0.465,0.636,0.165,0.535,0.229,0.364,0.125,0.692,1.0,0.173,0.625,0.75,0.311,0.608,0.238,0.949,0.501,2.152
Don't Matter To Me (with Michael Jackson),Drake,2018-06-29,0,spotify:track:6G8kHiVZ1jW7vHMPVRNZU0,0.496,0.814,0.236,0.313,0.014,0.909,0.094,0.637,1.0,0.037,0.336,0.75,0.117,0.446,0.278,0.871,0.503,2.957
Happy Now,Zedd,2018-07-18,0,spotify:track:4keoy2fqgwGnbWlm3ZVZFa,0.583,0.425,0.194,0.748,0.0,0.364,0.053,0.847,1.0,0.026,0.247,0.5,0.453,0.331,0.22,0.908,0.503,2.239
Natural,Imagine Dragons,2018-11-09,0,spotify:track:2FY7b99s15jUprqC0M5NCT,0.218,0.667,0.174,0.615,0.0,0.182,0.063,0.819,1.0,0.019,0.318,0.75,0.203,0.401,0.339,0.939,0.503,1.722
Love It If We Made It,The 1975,2018-11-30,1,spotify:track:6WmIyn2fx1PKQ0XDpYj4VR,0.001,0.387,0.244,0.752,0.0,0.364,0.079,0.842,1.0,0.013,0.805,0.75,0.039,0.353,0.114,0.889,0.503,1.092
Thru These Tears,LANY,2018-10-05,0,spotify:track:7GbAp0HKPQW7WnFJAzMoRk,0.155,0.676,0.191,0.518,0.0,1.0,0.135,0.773,1.0,0.017,0.439,0.75,0.281,0.372,0.291,0.931,0.508,1.001
Talk Up (feat. Jay-Z),Drake,2018-06-29,1,spotify:track:4ksuI04WMvUnJbHQjgs3L5,0.004,0.732,0.211,0.49,0.0,1.0,0.287,0.71,1.0,0.123,0.562,0.75,0.324,0.371,0.114,0.923,0.503,1.178
After Dark (feat. Static Major & Ty Dolla $ign),Drake,2018-06-29,1,spotify:track:3mvYQKm8h6M5K5h0nVPY9S,0.042,0.646,0.284,0.427,0.0,0.182,0.124,0.618,1.0,0.179,0.573,0.75,0.317,0.381,0.542,0.922,0.503,1.147
Leave Me,Rich The Kid,2018-03-30,1,spotify:track:3yAVrwXhueRFZMUjxkh2ia,0.032,0.866,0.167,0.562,0.0,0.909,0.21,0.776,1.0,0.121,0.609,0.75,0.384,0.282,0.085,0.956,0.503,1.342
Hello Beautiful,Noah Schnacky,2018-01-27,0,spotify:track:1p61zyWNtBhbbAFzg4HUiq,0.544,0.426,0.205,0.472,0.0,0.818,0.302,0.795,1.0,0.019,0.156,0.75,0.301,0.272,0.035,0.898,0.505,1.012
In My Mind,Dynoro,2018-06-08,0,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,0.177,0.655,0.169,0.779,0.0,0.545,0.102,0.841,1.0,0.134,0.476,0.75,0.143,0.511,0.064,0.969,0.506,1.829
SWISH,Tyga,2018-07-25,1,spotify:track:55GiOwtxNajXVbpjjIzMnD,0.084,0.885,0.18,0.543,0.0,1.0,0.102,0.833,1.0,0.21,0.348,0.75,0.26,0.567,0.488,0.932,0.508,2.443
CLOUT COBAIN | CLOUT CO13A1N,Denzel Curry,2018-07-27,1,spotify:track:2LNMhZ3YijTO7USmqjgJfG,0.596,0.775,0.22,0.447,0.0,0.909,0.093,0.857,0.0,0.033,0.439,0.75,0.589,0.273,0.091,0.859,0.508,1.148
No Brainer,DJ Khaled,2018-07-27,1,spotify:track:5WvAo7DNuPRmk4APhdPzi8,0.074,0.484,0.252,0.768,0.0,0.0,0.069,0.859,1.0,0.338,0.535,1.0,0.642,0.549,0.121,0.916,0.508,5.576
One Day (feat. Ryan Tedder),Logic,2018-07-27,1,spotify:track:6e2PtJYcltVk76nLwxBzRn,0.119,0.456,0.186,0.883,0.0,0.909,0.099,0.827,1.0,0.14,0.865,0.75,0.258,0.733,0.073,0.93,0.508,2.075
Light Me Up,RL Grime,2018-07-27,0,spotify:track:3imS277wRbz1CFoDySgTff,0.074,0.409,0.188,0.633,0.0,0.182,0.079,0.877,0.0,0.018,0.165,0.75,0.287,0.316,0.119,0.863,0.508,1.643
Hot Summer,DJ Durel,2018-07-27,1,spotify:track:3fEpuoSr8ufvyRR7s2jB3U,0.024,0.925,0.22,0.636,0.0,0.091,0.379,0.794,1.0,0.27,0.27,0.75,0.388,0.38,0.307,0.917,0.508,1.322
HANDGUN (feat. A$AP Rocky),YG,2018-08-03,1,spotify:track:50wkDxcIfamIajKwmgp0iB,0.02,0.834,0.203,0.548,0.0,0.727,0.374,0.772,1.0,0.468,0.677,0.75,0.42,0.3,0.2,0.951,0.508,1.362
Mo Bamba,Sheck Wes,2018-10-05,1,spotify:track:1xzBco0xcoJEDXktl7Jxrr,0.195,0.697,0.168,0.629,0.01,0.364,0.241,0.843,1.0,0.009,0.598,0.75,0.246,0.342,0.298,0.974,0.508,1.806
Nephew (feat. Lil Pump),Smokepurpp,2018-07-27,1,spotify:track:0ibOcbkp2XG46Do8jcy0bL,0.004,0.773,0.189,0.453,0.0,0.818,0.28,0.8,1.0,0.461,0.695,0.75,0.679,0.311,0.405,0.943,0.509,1.454
Kung Fu,YBN Cordae,2018-07-13,1,spotify:track:1eEYbTvRWPEozV0ttNO0NC,0.023,0.874,0.186,0.612,0.0,0.727,0.091,0.821,1.0,0.091,0.47,0.75,0.243,0.429,0.208,0.961,0.509,1.106
Be Alright,Dean Lewis,2018-06-29,1,spotify:track:3EPXxR3ImUwfayaurPi3cm,0.702,0.485,0.182,0.589,0.0,1.0,0.064,0.813,1.0,0.014,0.48,0.75,0.437,0.374,0.078,0.908,0.511,1.905
TAlk tO Me (with Rich The Kid),Tory Lanez,2018-11-27,1,spotify:track:51w9Jbat1pLeWINGCpnQUR,0.023,0.66,0.239,0.665,0.0,0.0,0.043,0.767,1.0,0.031,0.683,0.75,0.445,0.261,0.137,0.911,0.512,1.006
STARGAZING,Travis Scott,2018-08-03,1,spotify:track:7wBJfHzpfI3032CSD7CE2m,0.01,0.405,0.263,0.798,0.0,0.727,0.178,0.888,1.0,0.022,0.622,0.75,0.032,0.268,0.297,0.909,0.515,6.261
SICKO MODE,Travis Scott,2018-08-03,1,spotify:track:2xLMifQCjDGFmkHkpNLD9h,0.005,0.824,0.309,0.737,0.0,0.727,0.109,0.888,1.0,0.211,0.652,0.75,0.44,0.423,0.155,0.986,0.515,9.641
CAROUSEL,Travis Scott,2018-08-03,1,spotify:track:7KZ5MMVgBVox9ycroB2UrI,0.23,0.334,0.164,0.4,0.0,0.455,0.211,0.824,0.0,0.197,0.29,1.0,0.112,0.281,0.157,0.837,0.515,3.32
R.I.P. SCREW,Travis Scott,2018-08-03,1,spotify:track:4SZepBIPDRwPaHIjAKwRDb,0.391,0.55,0.17,0.613,0.0,0.0,0.095,0.822,0.0,0.284,0.165,0.75,0.555,0.401,0.165,0.833,0.515,2.775
NO BYSTANDERS,Travis Scott,2018-08-03,1,spotify:track:6OaVWaGfhXn70ZJfdVcabn,0.021,0.7,0.206,0.821,0.0,0.091,0.414,0.902,1.0,0.051,0.604,0.75,0.419,0.353,0.14,0.938,0.515,2.795
STOP TRYING TO BE GOD,Travis Scott,2018-08-03,1,spotify:track:1xYpVRspgaLxdJLOTQkTjg,0.222,0.527,0.338,0.569,0.0,0.364,0.121,0.887,0.0,0.042,0.622,0.75,0.091,0.363,0.602,0.877,0.515,2.688
WAKE UP,Travis Scott,2018-08-03,1,spotify:track:20MuVazoNMv6xjKPnRFOxG,0.193,0.712,0.221,0.65,0.0,1.0,0.15,0.847,0.0,0.078,0.616,0.75,0.484,0.416,0.32,0.884,0.515,3.01
5% TINT,Travis Scott,2018-08-03,1,spotify:track:11kDth1aKUEUMq9r1pqyds,0.174,0.677,0.182,0.481,0.0,0.364,0.233,0.839,0.0,0.027,0.562,0.75,0.038,0.263,0.092,0.873,0.515,2.576
SKELETONS,Travis Scott,2018-08-03,1,spotify:track:6NMtzpDQBTOfJwMzgMX0zl,0.001,0.372,0.126,0.692,0.0,0.0,0.375,0.823,0.0,0.015,0.61,0.75,0.237,0.354,0.041,0.798,0.515,2.265
NC-17,Travis Scott,2018-08-03,1,spotify:track:6BJbOXDlgVAXSaq6wYFYT2,0.068,0.787,0.139,0.771,0.0,0.182,0.368,0.837,1.0,0.031,0.537,0.75,0.034,0.243,0.189,0.91,0.515,2.4
YOSEMITE,Travis Scott,2018-08-03,1,spotify:track:7lAK3oHbfEnvUQWosrMMpR,0.285,0.765,0.131,0.556,0.0,0.0,0.1,0.805,1.0,0.019,0.488,0.75,0.124,0.302,0.145,0.894,0.515,3.634
ASTROTHUNDER,Travis Scott,2018-08-03,1,spotify:track:4MXhiYIRDMGAuvZc5IFTwC,0.143,0.662,0.124,0.459,0.0,0.364,0.095,0.761,0.0,0.046,0.634,0.75,0.272,0.307,0.221,0.906,0.515,2.228
WHO? WHAT!,Travis Scott,2018-08-03,1,spotify:track:4KYS9GK68yeuUJ8vJfPxrq,0.046,0.824,0.16,0.738,0.0,0.909,0.055,0.833,0.0,0.036,0.562,0.75,0.687,0.319,0.144,0.882,0.515,2.292
HOUSTONFORNICATION,Travis Scott,2018-08-03,1,spotify:track:58TaFP5j5i9swOf584yon2,0.099,0.649,0.205,0.73,0.0,0.0,0.145,0.878,0.0,0.064,0.683,0.75,0.274,0.212,0.051,0.847,0.515,2.103
COFFEE BEAN,Travis Scott,2018-08-03,1,spotify:track:6vnfObZ4Ys70SBAtti1xZ9,0.087,0.795,0.196,0.585,0.007,0.455,0.197,0.848,0.0,0.108,0.288,0.75,0.5,0.515,0.119,0.919,0.515,2.339
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,2018-08-03,1,spotify:track:0ZNrc4kNeQYD9koZ3KvCsy,0.006,0.717,0.227,0.342,0.0,0.091,0.071,0.772,1.0,0.327,0.95,0.75,0.09,0.147,0.344,0.837,0.515,3.19
Ladders,Mac Miller,2018-08-03,1,spotify:track:39NDBdU5Xkm5pCFGa5kZtI,0.237,0.785,0.281,0.462,0.006,0.727,0.089,0.753,1.0,0.147,0.342,0.75,0.278,0.482,0.192,0.958,0.515,1.617
Hurt Feelings,Mac Miller,2018-08-03,1,spotify:track:5p7GiBZNL1afJJDUrOA6C8,0.345,0.65,0.236,0.461,0.002,0.727,0.097,0.763,1.0,0.114,0.669,0.75,0.313,0.503,0.233,0.962,0.515,1.558
Come Back to Earth,Mac Miller,2018-08-03,0,spotify:track:01z2fBGB8Hl3Jd3zXe4IXR,0.896,0.146,0.144,0.231,0.01,0.182,0.269,0.644,0.0,0.013,0.217,0.75,0.097,0.249,0.07,0.576,0.515,1.523
Beautiful (feat. Camila Cabello),Bazzi,2018-08-02,0,spotify:track:4VUwkH455At9kENOfzTqmF,0.348,0.587,0.164,0.724,0.0,0.182,0.089,0.859,1.0,0.011,0.318,0.75,0.234,0.385,0.037,0.941,0.515,2.528
What's the Use?,Mac Miller,2018-08-03,1,spotify:track:2dgrYdgguVZKeCsrVb9XEs,0.741,0.733,0.283,0.492,0.01,0.091,0.091,0.697,0.0,0.103,0.348,0.75,0.561,0.564,0.227,0.806,0.515,1.48
SLAY (feat. Quavo),YG,2018-08-03,1,spotify:track:33NEAJosK5zyLY2D4OG7AE,0.069,0.705,0.279,0.439,0.0,0.909,0.328,0.774,0.0,0.025,0.245,0.75,0.223,0.317,0.084,0.833,0.515,1.696
10 TIMES,YG,2018-08-03,1,spotify:track:0SDrD96V1uEJLptciyML9s,0.116,0.832,0.141,0.503,0.0,0.091,0.605,0.771,0.0,0.017,0.336,0.75,0.15,0.328,0.134,0.789,0.515,1.587
POWER (feat. Ty Dolla $ign),YG,2018-08-03,1,spotify:track:4QL6NHf6sl3Sx58AFKc1GQ,0.011,0.942,0.156,0.486,0.0,0.091,0.084,0.765,1.0,0.047,0.318,0.75,0.406,0.354,0.186,0.908,0.515,1.464
BULLETPROOF (feat. Jay 305),YG,2018-08-03,1,spotify:track:1qUdAB72nSWPZwDqH9KMYD,0.138,0.754,0.135,0.516,0.0,0.909,0.318,0.781,0.0,0.412,0.699,0.5,0.442,0.446,0.257,0.835,0.515,1.48
Perfecto,Mac Miller,2018-08-03,1,spotify:track:0Xcy81PsJCOO6mhLZaQyQ4,0.754,0.54,0.203,0.312,0.0,0.091,0.095,0.671,1.0,0.16,0.61,0.75,0.185,0.329,0.134,0.825,0.515,1.31
TOO COCKY,YG,2018-08-03,1,spotify:track:7GG1QIQ547taCwl1uLaTf5,0.014,0.934,0.156,0.35,0.0,0.455,0.332,0.759,1.0,0.114,0.318,0.75,0.397,0.232,0.14,0.934,0.515,1.422
Wings,Mac Miller,2018-08-03,1,spotify:track:16umSNZfofRpDqTvf8DIAo,0.824,0.609,0.241,0.326,0.004,0.727,0.091,0.742,1.0,0.147,0.434,0.75,0.338,0.41,0.35,0.885,0.515,1.287
SUU WHOOP,YG,2018-08-03,1,spotify:track:6JzvfFCIFT1CbbHE1pDNBU,0.026,0.766,0.17,0.323,0.0,0.182,0.084,0.71,1.0,0.536,0.67,0.75,0.176,0.303,0.266,0.861,0.515,1.345
Small Worlds,Mac Miller,2018-08-03,1,spotify:track:4gT3mNJA8lnlkYFqGZ8IA2,0.82,0.44,0.265,0.548,0.0,0.455,0.083,0.732,1.0,0.24,0.186,0.75,0.512,0.494,0.068,0.884,0.515,1.26
666 (feat. YoungBoy Never Broke Again),YG,2018-08-03,1,spotify:track:3R2fdTDtARC4xwKSG0rNWE,0.01,0.862,0.273,0.692,0.0,0.182,0.072,0.778,1.0,0.278,0.211,0.75,0.501,0.483,0.045,0.935,0.515,1.191
Dunno,Mac Miller,2018-08-03,1,spotify:track:3YnwIp2b99p3e5dsFTXIIx,0.774,0.568,0.227,0.221,0.009,0.091,0.119,0.668,1.0,0.023,0.207,0.75,0.077,0.358,0.193,0.763,0.515,1.181
Conversation Pt. 1,Mac Miller,2018-08-03,1,spotify:track:1oFEAWvPHP5TdSlmIs77sV,0.645,0.767,0.197,0.472,0.0,0.545,0.094,0.705,0.0,0.096,0.591,0.75,0.249,0.399,0.173,0.861,0.515,1.137
Jet Fuel,Mac Miller,2018-08-03,1,spotify:track:2JmFRXaJrkAUD2cs6U20KG,0.544,0.772,0.345,0.559,0.0,0.636,0.087,0.717,0.0,0.05,0.439,0.75,0.27,0.402,0.141,0.88,0.515,1.173
Too Much (feat. Timbaland),ZAYN,2018-12-14,1,spotify:track:0rNww8PLCIrZLPz001SPI1,0.004,0.384,0.172,0.65,0.0,0.0,0.068,0.867,1.0,0.03,0.294,0.0,0.292,0.455,0.064,0.697,0.515,1.214
